Task,Year,Employees,Automation(in %),Time spent
Assembler,1950,2500,3,94
Assembler,1951,2590,3,94
Assembler,1952,2630,4,94
Assembler,1953,2690,4,93
Assembler,1954,2730,4,93
Assembler,1955,2800,5,93
Assembler,1956,2900,5,93
Assembler,1957,3000,5,93
Assembler,1958,3050,5,93
Assembler,1959,4000,6,92
Assembler,1960,4090,6,92
Assembler,1961,4160,6,92
Assembler,1962,4240,7,91
Assembler,1963,4300,7,91
Assembler,1964,4500,7,91
Assembler,1965,4620,7,91
Assembler,1966,4710,8,90
Assembler,1967,4800,8,90
Assembler,1968,4860,9,90
Assembler,1969,4900,9,90
Assembler,1970,4660,10,70
Assembler,1971,4690,10,70
Assembler,1972,4620,10,70
Assembler,1973,4800,11,68
Assembler,1974,4660,11,68
Assembler,1975,4500,11,68
Assembler,1976,4320,11,68
Assembler,1977,4340,12,68
Assembler,1978,4400,12,67
Assembler,1979,4440,12,67
Assembler,1980,4600,12,67
Assembler,1981,4650,13,66
Assembler,1982,4700,13,66
Assembler,1983,4680,13,66
Assembler,1984,4840,13,66
Assembler,1985,4700,13,66
Assembler,1986,4880,14,65
Assembler,1987,4930,14,65
Assembler,1988,5200,14,65
Assembler,1989,5080,14,65
Assembler,1990,4900,15,55
Assembler,1991,4800,15,55
Assembler,1992,4640,15,55
Assembler,1993,4750,15,55
Assembler,1994,4700,15,55
Assembler,1995,4680,16,52
Assembler,1996,4620,16,52
Assembler,1997,4570,16,52
Assembler,1998,4480,16,52
Assembler,1999,4430,16,52
Assembler,2000,4330,16,52
Assembler,2001,4290,17,38
Assembler,2002,4150,17,38
Assembler,2003,3860,17,38
Assembler,2004,3750,17,38
Assembler,2005,3610,17,38
Assembler,2006,3500,17,38
Assembler,2007,3500,17,38
Assembler,2008,3480,18,35
Assembler,2009,3570,18,35
Assembler,2010,3815,18,35
Assembler,2011,3930,18,35
Assembler,2012,3960,18,35
Assembler,2013,3940,17,33
Assembler,2014,3910,17,33
Assembler,2015,3890,17,33
Assembler,2016,3820,17,33
Assembler,2017,3770,17,33
Assembler,2018,3740,19,30
Assembler,2019,3630,19,30
Assembler,2020,3565,19,30
