Employee_id,Age,Group,Year,Yrs of Experience,yrs_rate,skills_rate,Sale,manufacture_rate,Expertise,Salary
1,24,Trainee,2018,1.1,2,12,12,14,40,35000
2,25,Trainee,2016,1.3,2,12,12,14,40,35000
3,27,Trainee,2018,1.5,2,12,12,14,40,35000
4,26,Trainee,2017,2,2,12,12,14,40,35000
5,26,Trainee,2019,2.2,2,12,12,14,40,35000
6,27,Trainee,2015,2.9,8,19,18,15,60,45000
7,28,Trainee,2013,3,8,19,18,15,60,45000
8,27,Trainee,2017,3.2,8,19,18,15,60,45000
9,28,Trainee,2013,3.2,8,19,18,15,60,45000
10,29,Trainee,2015,3.7,8,19,18,15,60,45000
11,27,Trainee,2014,3.9,8,19,18,15,60,45000
12,28,Trainee,2015,4,8,19,18,15,60,45000
13,27,Trainee,2015,4,8,19,18,15,60,45000
14,28,Trainee,2015,4.1,8,19,18,15,60,45000
15,27,Trainee,2013,4.5,8,19,18,15,60,45000
16,30,Trainee,2013,4.9,8,19,18,15,60,45000
17,32,Assistant,2013,5.1,9,23,15,18,65,50000
18,31,Assistant,2014,5.3,9,23,19,14,65,50000
19,33,Assistant,2013,5.9,9,22,20,19,70,60000
20,34,Assistant,2014,6,12,22,23,23,80,70000
21,35,Assistant,2014,6.8,9,22,20,19,70,60000
22,36,Assistant,2014,7.1,9,22,20,19,70,60000
23,37,Assistant,2013,7.9,15,22,21,22,80,70000
24,36,Assistant,2013,8.2,15,28,20,17,80,70000
25,35,Assistant,2013,8.7,9,22,20,19,70,60000
26,40,Assistant,2013,9,15,16,19,15,65,50000
27,38,Assistant,2013,9.5,9,22,20,19,70,60000
28,39,Assistant,2013,9.6,13,24,21,22,80,70000
29,41,Experienced,2011,10.3,17,29,24,25,95,100000
30,45,Experienced,2011,10.5,16,22,23,24,85,80000
31,28,Trainee,2015,3,8,15,17,15,55,43000
32,27,Trainee,2019,3.2,8,15,17,15,55,43000
33,28,Trainee,2013,3.2,8,15,17,15,55,43000
34,28,Trainee,2015,4.1,8,15,17,15,55,43000
35,27,Trainee,2015,2.9,8,15,17,15,55,43000
36,37,Assistant,2013,7.9,9,22,20,19,70,60000
37,28,Trainee,2015,3.7,8,15,17,15,55,43000
38,26,Trainee,2019,1.3,3,12,12,14,40,35000
39,25,Trainee,2016,1.5,4,14,20,17,55,43000
